Question,Structure,Réponses,Occurrences,Nombre de réponses,Effectifs par structure,Pourcentage,Edition
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Une région,"Non, probablement pas",0,14,14,0,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Une région,"Oui, de temps en temps",0,14,14,0,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Autre,"Oui, partiellement",15,31,31,48,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Autre,"Non, pas complètement",8,31,31,26,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Autre,"Non, pas encore",3,31,31,10,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Autre,"Oui, tout à fait",5,31,31,16,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Entre 10 000 et 100 000 habitants,"Oui, partiellement",18,35,35,51,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Entre 10 000 et 100 000 habitants,"Non, pas complètement",9,35,35,26,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Entre 10 000 et 100 000 habitants,"Non, pas encore",3,35,35,9,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Entre 10 000 et 100 000 habitants,"Oui, tout à fait",5,35,35,14,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Entre 3 500 et 10 000 habitants,"Oui, partiellement",7,17,17,41,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Entre 3 500 et 10 000 habitants,"Non, pas complètement",4,17,17,24,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Entre 3 500 et 10 000 habitants,"Non, pas encore",1,17,17,6,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Entre 3 500 et 10 000 habitants,"Oui, tout à fait",5,17,17,29,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Moins de 3 500 habitants,"Oui, partiellement",32,81,81,40,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Moins de 3 500 habitants,"Non, pas complètement",16,81,81,20,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Moins de 3 500 habitants,"Non, pas encore",16,81,81,20,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Moins de 3 500 habitants,"Oui, tout à fait",17,81,81,21,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Plus de 100 000 habitants,"Oui, partiellement",4,7,7,57,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Plus de 100 000 habitants,"Non, pas complètement",0,7,7,0,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Plus de 100 000 habitants,"Non, pas encore",0,7,7,0,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Plus de 100 000 habitants,"Oui, tout à fait",3,7,7,43,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Total,"Oui, partiellement",139,297,297,47,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Total,"Non, pas complètement",56,297,297,19,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Total,"Non, pas encore",26,297,297,9,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Total,"Oui, tout à fait",76,297,297,26,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Total hors communes < 3500 habitants,"Oui, partiellement",107,216,216,50,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Total hors communes < 3500 habitants,"Non, pas complètement",40,216,216,19,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Total hors communes < 3500 habitants,"Non, pas encore",10,216,216,5,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Total hors communes < 3500 habitants,"Oui, tout à fait",59,216,216,27,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Un EPCI,"Oui, partiellement",39,83,83,47,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Un EPCI,"Non, pas complètement",13,83,83,16,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Un EPCI,"Non, pas encore",2,83,83,2,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Un EPCI,"Oui, tout à fait",29,83,83,35,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Un département,"Oui, partiellement",15,29,29,52,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Un département,"Non, pas complètement",6,29,29,21,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Un département,"Non, pas encore",1,29,29,3,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Un département,"Oui, tout à fait",7,29,29,24,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Une commune,"Oui, partiellement",61,140,140,44,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Une commune,"Oui, tout à fait",30,140,140,21,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Une commune,"Non, pas complètement",29,140,140,21,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Une commune,"Non, pas encore",20,140,140,14,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Une commune,Sans réponse,0,140,140,0,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Une région,"Oui, partiellement",9,14,14,64,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Une région,"Non, pas complètement",0,14,14,0,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Une région,"Non, pas encore",0,14,14,0,2022
Droitdesdonnees1. Commençons par la protection de la vie privée. Considérez-vous que votre collectivité est en conformité avec le RGPD ?,Une région,"Oui, tout à fait",5,14,14,36,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Autre,Dans un data center public local,2,31,31,6,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Autre,Sur des serveurs internes,21,31,31,68,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Autre,Chez des éditeurs de logiciels (SaaS),4,31,31,13,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Autre,Dans un cloud certifié SecNum (cloud de confiance certifié par l'Etat),1,31,31,3,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Autre,Je ne sais pas,3,31,31,10,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Autre,Dans un cloud non certifié SecNum,0,31,31,0,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Entre 10 000 et 100 000 habitants,Dans un data center public local,4,35,35,11,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Entre 10 000 et 100 000 habitants,Sur des serveurs internes,21,35,35,60,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Entre 10 000 et 100 000 habitants,Chez des éditeurs de logiciels (SaaS),4,35,35,11,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Entre 10 000 et 100 000 habitants,Dans un cloud certifié SecNum (cloud de confiance certifié par l'Etat),2,35,35,6,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Entre 10 000 et 100 000 habitants,Je ne sais pas,2,35,35,6,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Entre 10 000 et 100 000 habitants,Dans un cloud non certifié SecNum,2,35,35,6,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Entre 3 500 et 10 000 habitants,Dans un data center public local,1,17,17,6,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Entre 3 500 et 10 000 habitants,Sur des serveurs internes,10,17,17,59,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Entre 3 500 et 10 000 habitants,Chez des éditeurs de logiciels (SaaS),2,17,17,12,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Entre 3 500 et 10 000 habitants,Dans un cloud certifié SecNum (cloud de confiance certifié par l'Etat),2,17,17,12,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Entre 3 500 et 10 000 habitants,Je ne sais pas,2,17,17,12,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Entre 3 500 et 10 000 habitants,Dans un cloud non certifié SecNum,0,17,17,0,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Moins de 3 500 habitants,Dans un data center public local,4,81,81,5,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Moins de 3 500 habitants,Sur des serveurs internes,45,81,81,56,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Moins de 3 500 habitants,Chez des éditeurs de logiciels (SaaS),12,81,81,15,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Moins de 3 500 habitants,Dans un cloud certifié SecNum (cloud de confiance certifié par l'Etat),6,81,81,7,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Moins de 3 500 habitants,Je ne sais pas,12,81,81,15,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Moins de 3 500 habitants,Dans un cloud non certifié SecNum,2,81,81,2,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Plus de 100 000 habitants,Dans un data center public local,1,7,7,14,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Plus de 100 000 habitants,Sur des serveurs internes,5,7,7,71,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Plus de 100 000 habitants,Chez des éditeurs de logiciels (SaaS),0,7,7,0,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Plus de 100 000 habitants,Dans un cloud certifié SecNum (cloud de confiance certifié par l'Etat),1,7,7,14,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Plus de 100 000 habitants,Je ne sais pas,0,7,7,0,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Plus de 100 000 habitants,Dans un cloud non certifié SecNum,0,7,7,0,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Total,Dans un data center public local,25,297,297,8,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Total,Sur des serveurs internes,182,297,297,61,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Total,Chez des éditeurs de logiciels (SaaS),38,297,297,13,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Total,Dans un cloud certifié SecNum (cloud de confiance certifié par l'Etat),17,297,297,6,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Total,Je ne sais pas,31,297,297,10,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Total,Dans un cloud non certifié SecNum,4,297,297,1,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Total hors communes < 3500 habitants,Dans un data center public local,21,216,216,10,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Total hors communes < 3500 habitants,Sur des serveurs internes,137,216,216,63,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Total hors communes < 3500 habitants,Chez des éditeurs de logiciels (SaaS),26,216,216,12,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Total hors communes < 3500 habitants,Dans un cloud certifié SecNum (cloud de confiance certifié par l'Etat),11,216,216,5,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Total hors communes < 3500 habitants,Je ne sais pas,19,216,216,9,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Total hors communes < 3500 habitants,Dans un cloud non certifié SecNum,2,216,216,1,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Un EPCI,Dans un data center public local,8,83,83,10,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Un EPCI,Sur des serveurs internes,51,83,83,61,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Un EPCI,Chez des éditeurs de logiciels (SaaS),14,83,83,17,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Un EPCI,Dans un cloud certifié SecNum (cloud de confiance certifié par l'Etat),4,83,83,5,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Un EPCI,Je ne sais pas,6,83,83,7,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Un EPCI,Dans un cloud non certifié SecNum,0,83,83,0,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Un département,Dans un data center public local,1,29,29,3,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Un département,Sur des serveurs internes,24,29,29,83,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Un département,Chez des éditeurs de logiciels (SaaS),1,29,29,3,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Un département,Dans un cloud certifié SecNum (cloud de confiance certifié par l'Etat),1,29,29,3,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Un département,Je ne sais pas,2,29,29,7,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Un département,Dans un cloud non certifié SecNum,0,29,29,0,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Une commune,Sur des serveurs internes,81,140,140,58,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Une commune,Dans un cloud certifié SecNum (cloud de confiance certifié par l'Etat),11,140,140,8,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Une commune,Dans un cloud non certifié SecNum,4,140,140,3,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Une commune,Dans un data center public local,10,140,140,7,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Une commune,Chez des éditeurs de logiciels (SaaS),18,140,140,13,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Une commune,Je ne sais pas,16,140,140,11,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Une commune,Sans réponse,0,140,140,0,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Une région,Dans un data center public local,4,14,14,29,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Une région,Sur des serveurs internes,5,14,14,36,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Une région,Chez des éditeurs de logiciels (SaaS),1,14,14,7,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Une région,Dans un cloud certifié SecNum (cloud de confiance certifié par l'Etat),0,14,14,0,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Une région,Je ne sais pas,4,14,14,29,2022
"Enjeuxtechniques1. Aujourd’hui, les données de votre collectivité sont majoritairement hébergées :",Une région,Dans un cloud non certifié SecNum,0,14,14,0,2022
Ethique1. Votre collectivité a-t-elle élaboré une charte éthique de la donnée ?,Autre,Non,21,31,31,68,2022
Ethique1. Votre collectivité a-t-elle élaboré une charte éthique de la donnée ?,Autre,Je ne sais pas,6,31,31,19,2022
Ethique1. Votre collectivité a-t-elle élaboré une charte éthique de la donnée ?,Autre,Oui,4,31,31,13,2022
Ethique1. Votre collectivité a-t-elle élaboré une charte éthique de la donnée ?,Entre 10 000 et 100 000 habitants,Non,29,35,35,83,2022
Ethique1. Votre collectivité a-t-elle élaboré une charte éthique de la donnée ?,Entre 10 000 et 100 000 habitants,Je ne sais pas,4,35,35,11,2022
Ethique1. Votre collectivité a-t-elle élaboré une charte éthique de la donnée ?,Entre 10 000 et 100 000 habitants,Oui,2,35,35,6,2022
Ethique1. Votre collectivité a-t-elle élaboré une charte éthique de la donnée ?,Entre 3 500 et 10 000 habitants,Non,15,17,17,88,2022
Ethique1. Votre collectivité a-t-elle élaboré une charte éthique de la donnée ?,Entre 3 500 et 10 000 habitants,Je ne sais pas,1,17,17,6,2022
Ethique1. Votre collectivité a-t-elle élaboré une charte éthique de la donnée ?,Entre 3 500 et 10 000 habitants,Oui,1,17,17,6,2022
Ethique1. Votre collectivité a-t-elle élaboré une charte éthique de la donnée ?,Moins de 3 500 habitants,Non,72,81,81,89,2022
Ethique1. Votre collectivité a-t-elle élaboré une charte éthique de la donnée ?,Moins de 3 500 habitants,Je ne sais pas,7,81,81,9,2022
Ethique1. Votre collectivité a-t-elle élaboré une charte éthique de la donnée ?,Moins de 3 500 habitants,Oui,2,81,81,2,2022
Ethique1. Votre collectivité a-t-elle élaboré une charte éthique de la donnée ?,Plus de 100 000 habitants,Non,6,7,7,86,2022
Ethique1. Votre collectivité a-t-elle élaboré une charte éthique de la donnée ?,Plus de 100 000 habitants,Je ne sais pas,1,7,7,14,2022
Ethique1. Votre collectivité a-t-elle élaboré une charte éthique de la donnée ?,Plus de 100 000 habitants,Oui,0,7,7,0,2022
Ethique1. Votre collectivité a-t-elle élaboré une charte éthique de la donnée ?,Total,Non,243,297,297,82,2022
Ethique1. Votre collectivité a-t-elle élaboré une charte éthique de la donnée ?,Total,Je ne sais pas,37,297,297,12,2022
Ethique1. Votre collectivité a-t-elle élaboré une charte éthique de la donnée ?,Total,Oui,17,297,297,6,2022
Ethique1. Votre collectivité a-t-elle élaboré une charte éthique de la donnée ?,Total hors communes < 3500 habitants,Non,171,216,216,79,2022
Ethique1. Votre collectivité a-t-elle élaboré une charte éthique de la donnée ?,Total hors communes < 3500 habitants,Je ne sais pas,30,216,216,14,2022
Ethique1. Votre collectivité a-t-elle élaboré une charte éthique de la donnée ?,Total hors communes < 3500 habitants,Oui,15,216,216,7,2022
Ethique1. Votre collectivité a-t-elle élaboré une charte éthique de la donnée ?,Un EPCI,Non,69,83,83,83,2022
Ethique1. Votre collectivité a-t-elle élaboré une charte éthique de la donnée ?,Un EPCI,Je ne sais pas,8,83,83,10,2022
Ethique1. Votre collectivité a-t-elle élaboré une charte éthique de la donnée ?,Un EPCI,Oui,6,83,83,7,2022
Ethique1. Votre collectivité a-t-elle élaboré une charte éthique de la donnée ?,Un département,Non,22,29,29,76,2022
Ethique1. Votre collectivité a-t-elle élaboré une charte éthique de la donnée ?,Un département,Je ne sais pas,7,29,29,24,2022
