Question,Structure,Réponses,Occurrences,Nombre de réponses,Effectifs par structure,Pourcentage
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Communes de 3 500 à 10 000 hab.,"Non, mais c’est prévu dans les 12 prochains mois",1,6,6,17
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Communes de 3 500 à 10 000 hab.,Je ne sais pas,0,6,6,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Communes de 10 000 à 100 000 hab.,Je le fais déjà,5,8,10,50
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Communes de 10 000 à 100 000 hab.,"Non, et ce n’est pas prévu dans les 12 prochains mois",2,8,10,20
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Communes de 10 000 à 100 000 hab.,Sans réponse,2,8,10,20
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Communes de 10 000 à 100 000 hab.,"Non, mais c’est prévu dans les 12 prochains mois",0,8,10,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Communes de 10 000 à 100 000 hab.,Je ne sais pas,1,8,10,10
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Communes de plus de 100 000 hab.,Je le fais déjà,2,4,5,40
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Communes de plus de 100 000 hab.,"Non, et ce n’est pas prévu dans les 12 prochains mois",1,4,5,20
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Communes de plus de 100 000 hab.,Sans réponse,1,4,5,20
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Communes de plus de 100 000 hab.,"Non, mais c’est prévu dans les 12 prochains mois",0,4,5,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Communes de plus de 100 000 hab.,Je ne sais pas,1,4,5,20
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Une métropole,Je le fais déjà,11,16,18,61
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Une métropole,"Non, et ce n’est pas prévu dans les 12 prochains mois",5,16,18,28
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Une métropole,Sans réponse,2,16,18,11
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Une métropole,"Non, mais c’est prévu dans les 12 prochains mois",0,16,18,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Une métropole,Je ne sais pas,0,16,18,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Un EPCI (hors métropole),Je le fais déjà,14,29,33,42
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Un EPCI (hors métropole),"Non, et ce n’est pas prévu dans les 12 prochains mois",10,29,33,30
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Un EPCI (hors métropole),Sans réponse,4,29,33,12
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Un EPCI (hors métropole),"Non, mais c’est prévu dans les 12 prochains mois",2,29,33,6
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Un EPCI (hors métropole),Je ne sais pas,3,29,33,9
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Un département,Je le fais déjà,9,20,25,36
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Un département,"Non, et ce n’est pas prévu dans les 12 prochains mois",8,20,25,32
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Un département,Sans réponse,5,20,25,20
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Un département,"Non, mais c’est prévu dans les 12 prochains mois",1,20,25,4
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Un département,Je ne sais pas,2,20,25,8
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Une région,Je le fais déjà,8,9,10,80
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Une région,"Non, et ce n’est pas prévu dans les 12 prochains mois",0,9,10,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Une région,Sans réponse,1,9,10,10
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Une région,"Non, mais c’est prévu dans les 12 prochains mois",0,9,10,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Une région,Je ne sais pas,1,9,10,10
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Autre,Je le fais déjà,32,59,75,43
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Autre,"Non, et ce n’est pas prévu dans les 12 prochains mois",19,59,75,25
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Autre,Sans réponse,16,59,75,21
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Autre,"Non, mais c’est prévu dans les 12 prochains mois",3,59,75,4
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Autre,Je ne sais pas,5,59,75,7
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Total,"Non, et ce n’est pas prévu dans les 12 prochains mois",73,145,191,38
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Total,Je ne sais pas,22,145,191,12
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Total,Sans réponse,46,145,191,24
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Total,"Non, mais c’est prévu dans les 12 prochains mois",4,145,191,2
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Total,Je le fais déjà,46,145,191,24
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Une commune,"Non, et ce n’est pas prévu dans les 12 prochains mois",12,20,20,40
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Une commune,Sans réponse,10,20,20,33
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Une commune,Je le fais déjà,3,20,20,10
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Une commune,Je ne sais pas,5,20,20,17
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Communes de moins de 3 500 hab.,"Non, et ce n’est pas prévu dans les 12 prochains mois",3,6,9,33
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Communes de moins de 3 500 hab.,Je ne sais pas,2,6,9,22
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Communes de moins de 3 500 hab.,Sans réponse,3,6,9,33
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Communes de moins de 3 500 hab.,"Non, mais c’est prévu dans les 12 prochains mois",0,6,9,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Communes de moins de 3 500 hab.,Je le fais déjà,1,6,9,11
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Communes de 3 500 à 10 000 hab.,"Non, et ce n’est pas prévu dans les 12 prochains mois",5,5,6,83
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Communes de 3 500 à 10 000 hab.,Je ne sais pas,0,5,6,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Communes de 3 500 à 10 000 hab.,Sans réponse,1,5,6,17
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Communes de 3 500 à 10 000 hab.,"Non, mais c’est prévu dans les 12 prochains mois",0,5,6,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Communes de 3 500 à 10 000 hab.,Je le fais déjà,0,5,6,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Communes de 10 000 à 100 000 hab.,"Non, et ce n’est pas prévu dans les 12 prochains mois",2,5,10,20
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Communes de 10 000 à 100 000 hab.,Je ne sais pas,2,5,10,20
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Communes de 10 000 à 100 000 hab.,Sans réponse,5,5,10,50
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Communes de 10 000 à 100 000 hab.,"Non, mais c’est prévu dans les 12 prochains mois",0,5,10,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Communes de 10 000 à 100 000 hab.,Je le fais déjà,1,5,10,10
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Communes de plus de 100 000 hab.,"Non, et ce n’est pas prévu dans les 12 prochains mois",2,4,5,40
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Communes de plus de 100 000 hab.,Je ne sais pas,1,4,5,20
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Communes de plus de 100 000 hab.,Sans réponse,1,4,5,20
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Communes de plus de 100 000 hab.,"Non, mais c’est prévu dans les 12 prochains mois",0,4,5,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Communes de plus de 100 000 hab.,Je le fais déjà,1,4,5,20
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Une métropole,"Non, et ce n’est pas prévu dans les 12 prochains mois",2,16,18,11
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Une métropole,Je ne sais pas,1,16,18,6
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Une métropole,Sans réponse,2,16,18,11
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Une métropole,"Non, mais c’est prévu dans les 12 prochains mois",0,16,18,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Une métropole,Je le fais déjà,13,16,18,72
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Un EPCI (hors métropole),"Non, et ce n’est pas prévu dans les 12 prochains mois",16,30,33,48
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Un EPCI (hors métropole),Je ne sais pas,2,30,33,6
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Un EPCI (hors métropole),Sans réponse,3,30,33,9
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Un EPCI (hors métropole),"Non, mais c’est prévu dans les 12 prochains mois",0,30,33,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Un EPCI (hors métropole),Je le fais déjà,12,30,33,36
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Un département,"Non, et ce n’est pas prévu dans les 12 prochains mois",12,19,25,48
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Un département,Je ne sais pas,4,19,25,16
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Un département,Sans réponse,6,19,25,24
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Un département,"Non, mais c’est prévu dans les 12 prochains mois",0,19,25,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Un département,Je le fais déjà,3,19,25,12
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Une région,"Non, et ce n’est pas prévu dans les 12 prochains mois",2,7,10,20
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Une région,Je ne sais pas,3,7,10,30
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Une région,Sans réponse,3,7,10,30
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Une région,"Non, mais c’est prévu dans les 12 prochains mois",1,7,10,10
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Une région,Je le fais déjà,1,7,10,10
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Autre,"Non, et ce n’est pas prévu dans les 12 prochains mois",29,53,75,39
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Autre,Je ne sais pas,7,53,75,9
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Autre,Sans réponse,22,53,75,29
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Autre,"Non, mais c’est prévu dans les 12 prochains mois",3,53,75,4
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un délégataire de service public]",Autre,Je le fais déjà,14,53,75,19
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Total,"Non, et ce n’est pas prévu dans les 12 prochains mois",77,135,191,40
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Total,Je ne sais pas,33,135,191,17
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Total,Je le fais déjà,20,135,191,10
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Total,Sans réponse,56,135,191,29
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Total,"Non, mais c’est prévu dans les 12 prochains mois",5,135,191,3
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Une commune,"Non, et ce n’est pas prévu dans les 12 prochains mois",14,22,22,47
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Une commune,Sans réponse,8,22,22,27
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Une commune,Je ne sais pas,7,22,22,23
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Une commune,Je le fais déjà,1,22,22,3
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Communes de moins de 3 500 hab.,"Non, et ce n’est pas prévu dans les 12 prochains mois",3,7,9,33
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Communes de moins de 3 500 hab.,Je ne sais pas,3,7,9,33
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Communes de moins de 3 500 hab.,Je le fais déjà,1,7,9,11
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Communes de moins de 3 500 hab.,Sans réponse,2,7,9,22
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Communes de moins de 3 500 hab.,"Non, mais c’est prévu dans les 12 prochains mois",0,7,9,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Communes de 3 500 à 10 000 hab.,"Non, et ce n’est pas prévu dans les 12 prochains mois",5,5,6,83
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Communes de 3 500 à 10 000 hab.,Je ne sais pas,0,5,6,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Communes de 3 500 à 10 000 hab.,Je le fais déjà,0,5,6,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Communes de 3 500 à 10 000 hab.,Sans réponse,1,5,6,17
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Communes de 3 500 à 10 000 hab.,"Non, mais c’est prévu dans les 12 prochains mois",0,5,6,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Communes de 10 000 à 100 000 hab.,"Non, et ce n’est pas prévu dans les 12 prochains mois",4,6,10,40
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Communes de 10 000 à 100 000 hab.,Je ne sais pas,2,6,10,20
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Communes de 10 000 à 100 000 hab.,Je le fais déjà,0,6,10,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Communes de 10 000 à 100 000 hab.,Sans réponse,4,6,10,40
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Communes de 10 000 à 100 000 hab.,"Non, mais c’est prévu dans les 12 prochains mois",0,6,10,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Communes de plus de 100 000 hab.,"Non, et ce n’est pas prévu dans les 12 prochains mois",2,4,5,40
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Communes de plus de 100 000 hab.,Je ne sais pas,2,4,5,40
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Communes de plus de 100 000 hab.,Je le fais déjà,0,4,5,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Communes de plus de 100 000 hab.,Sans réponse,1,4,5,20
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Communes de plus de 100 000 hab.,"Non, mais c’est prévu dans les 12 prochains mois",0,4,5,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Une métropole,"Non, et ce n’est pas prévu dans les 12 prochains mois",6,12,18,33
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Une métropole,Je ne sais pas,4,12,18,22
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un opérateur public de service numérique (OPSN)]",Une métropole,Je le fais déjà,1,12,18,6
