Question,Structure,Réponses,Occurrences,Nombre de réponses,Effectifs par structure,Pourcentage
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Communes de plus de 100 000 hab.,"Non, et ce n’est pas prévu dans les 12 prochains mois",1,5,5,20
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Total,Oui,121,185,191,63
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Total,Je ne sais pas,24,185,191,13
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Total,"Non, mais c’est prévu dans les 12 prochains mois",29,185,191,15
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Total,Sans réponse,6,185,191,3
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Total,"Non, et ce n’est pas prévu dans les 12 prochains mois",11,185,191,6
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Total hors communes < 3500 habitants,Oui,118,177,182,65
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Total hors communes < 3500 habitants,Je ne sais pas,23,177,182,13
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Total hors communes < 3500 habitants,"Non, mais c’est prévu dans les 12 prochains mois",25,177,182,14
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Total hors communes < 3500 habitants,Sans réponse,5,177,182,3
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Total hors communes < 3500 habitants,"Non, et ce n’est pas prévu dans les 12 prochains mois",11,177,182,6
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Total pondéré,Je ne sais pas,,,,13
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Total pondéré,Sans réponse,,,,0
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Total pondéré,"Non, et ce n’est pas prévu dans les 12 prochains mois",,,,6
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Total pondéré,"Non, mais c’est prévu dans les 12 prochains mois",,,,37
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Total pondéré,Oui,,,,43
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Un EPCI (hors métropole),Oui,24,33,33,73
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Un EPCI (hors métropole),Je ne sais pas,3,33,33,9
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Un EPCI (hors métropole),"Non, mais c’est prévu dans les 12 prochains mois",4,33,33,12
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Un EPCI (hors métropole),Sans réponse,0,33,33,0
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Un EPCI (hors métropole),"Non, et ce n’est pas prévu dans les 12 prochains mois",2,33,33,6
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Un département,Oui,15,24,25,60
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Un département,Je ne sais pas,6,24,25,24
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Un département,"Non, mais c’est prévu dans les 12 prochains mois",3,24,25,12
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Un département,Sans réponse,1,24,25,4
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Un département,"Non, et ce n’est pas prévu dans les 12 prochains mois",0,24,25,0
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Une commune,"Non, mais c’est prévu dans les 12 prochains mois",9,29,30,30
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Une commune,Oui,14,29,30,47
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Une commune,Sans réponse,1,29,30,3
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Une commune,"Non, et ce n’est pas prévu dans les 12 prochains mois",3,29,30,10
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Une commune,Je ne sais pas,3,29,30,10
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Une métropole,Oui,16,18,18,89
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Une métropole,Je ne sais pas,1,18,18,6
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Une métropole,"Non, mais c’est prévu dans les 12 prochains mois",1,18,18,6
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Une métropole,Sans réponse,0,18,18,0
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Une métropole,"Non, et ce n’est pas prévu dans les 12 prochains mois",0,18,18,0
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Une région,Oui,9,10,10,90
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Une région,Je ne sais pas,1,10,10,10
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Une région,"Non, mais c’est prévu dans les 12 prochains mois",0,10,10,0
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Une région,Sans réponse,0,10,10,0
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Une région,"Non, et ce n’est pas prévu dans les 12 prochains mois",0,10,10,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Autre,Chez des éditeurs de logiciels (SaaS),8,73,75,11
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Autre,Sur des serveurs internes,34,73,75,45
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Autre,Je ne sais pas,7,73,75,9
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Autre,Sans réponse,2,73,75,3
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Autre,Dans un cloud certifié SecNum (cloud de confiance certifié par l'Etat),14,73,75,19
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Autre,Dans un cloud non certifié SecNum,4,73,75,5
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Autre,Dans un data center public local,6,73,75,8
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de 10 000 à 100 000 hab.,Chez des éditeurs de logiciels (SaaS),2,10,10,20
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de 10 000 à 100 000 hab.,Sur des serveurs internes,4,10,10,40
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de 10 000 à 100 000 hab.,Je ne sais pas,0,10,10,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de 10 000 à 100 000 hab.,Sans réponse,0,10,10,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de 10 000 à 100 000 hab.,Dans un cloud certifié SecNum (cloud de confiance certifié par l'Etat),0,10,10,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de 10 000 à 100 000 hab.,Dans un cloud non certifié SecNum,0,10,10,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de 10 000 à 100 000 hab.,Dans un data center public local,4,10,10,40
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de 3 500 à 10 000 hab.,Chez des éditeurs de logiciels (SaaS),1,6,6,17
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de 3 500 à 10 000 hab.,Sur des serveurs internes,5,6,6,83
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de 3 500 à 10 000 hab.,Je ne sais pas,0,6,6,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de 3 500 à 10 000 hab.,Sans réponse,0,6,6,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de 3 500 à 10 000 hab.,Dans un cloud certifié SecNum (cloud de confiance certifié par l'Etat),0,6,6,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de 3 500 à 10 000 hab.,Dans un cloud non certifié SecNum,0,6,6,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de 3 500 à 10 000 hab.,Dans un data center public local,0,6,6,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de moins de 3 500 hab.,Chez des éditeurs de logiciels (SaaS),2,9,9,22
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de moins de 3 500 hab.,Sur des serveurs internes,5,9,9,56
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de moins de 3 500 hab.,Je ne sais pas,2,9,9,22
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de moins de 3 500 hab.,Sans réponse,0,9,9,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de moins de 3 500 hab.,Dans un cloud certifié SecNum (cloud de confiance certifié par l'Etat),0,9,9,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de moins de 3 500 hab.,Dans un cloud non certifié SecNum,0,9,9,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de moins de 3 500 hab.,Dans un data center public local,0,9,9,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de plus de 100 000 hab.,Chez des éditeurs de logiciels (SaaS),0,4,5,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de plus de 100 000 hab.,Sur des serveurs internes,3,4,5,60
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de plus de 100 000 hab.,Je ne sais pas,1,4,5,20
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de plus de 100 000 hab.,Sans réponse,1,4,5,20
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de plus de 100 000 hab.,Dans un cloud certifié SecNum (cloud de confiance certifié par l'Etat),0,4,5,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de plus de 100 000 hab.,Dans un cloud non certifié SecNum,0,4,5,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Communes de plus de 100 000 hab.,Dans un data center public local,0,4,5,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Total,Chez des éditeurs de logiciels (SaaS),21,186,191,11
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Total,Sur des serveurs internes,111,186,191,58
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Total,Je ne sais pas,15,186,191,8
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Total,Sans réponse,5,186,191,3
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Total,Dans un cloud certifié SecNum (cloud de confiance certifié par l'Etat),18,186,191,9
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Total,Dans un cloud non certifié SecNum,6,186,191,3
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Total,Dans un data center public local,15,186,191,8
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Total hors communes < 3500 habitants,Chez des éditeurs de logiciels (SaaS),19,177,182,10
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Total hors communes < 3500 habitants,Sur des serveurs internes,106,177,182,58
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Total hors communes < 3500 habitants,Je ne sais pas,13,177,182,7
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Total hors communes < 3500 habitants,Sans réponse,5,177,182,3
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Total hors communes < 3500 habitants,Dans un cloud certifié SecNum (cloud de confiance certifié par l'Etat),18,177,182,10
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Total hors communes < 3500 habitants,Dans un cloud non certifié SecNum,6,177,182,3
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Total hors communes < 3500 habitants,Dans un data center public local,15,177,182,8
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Total pondéré,Chez des éditeurs de logiciels (SaaS),,,,16
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Total pondéré,Dans un cloud certifié SecNum (cloud de confiance certifié par l'Etat),,,,3
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Total pondéré,Dans un cloud non certifié SecNum,,,,1
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Total pondéré,Dans un data center public local,,,,10
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Total pondéré,Je ne sais pas,,,,3
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Total pondéré,Sans réponse,,,,1
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Total pondéré,Sur des serveurs internes,,,,65
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Un EPCI (hors métropole),Chez des éditeurs de logiciels (SaaS),5,32,33,15
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Un EPCI (hors métropole),Sur des serveurs internes,17,32,33,52
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Un EPCI (hors métropole),Je ne sais pas,3,32,33,9
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Un EPCI (hors métropole),Sans réponse,1,32,33,3
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Un EPCI (hors métropole),Dans un cloud certifié SecNum (cloud de confiance certifié par l'Etat),4,32,33,12
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Un EPCI (hors métropole),Dans un cloud non certifié SecNum,1,32,33,3
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Un EPCI (hors métropole),Dans un data center public local,2,32,33,6
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Un département,Chez des éditeurs de logiciels (SaaS),1,25,25,4
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Un département,Sur des serveurs internes,23,25,25,92
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Un département,Je ne sais pas,1,25,25,4
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Un département,Sans réponse,0,25,25,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Un département,Dans un cloud certifié SecNum (cloud de confiance certifié par l'Etat),0,25,25,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Un département,Dans un cloud non certifié SecNum,0,25,25,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Un département,Dans un data center public local,0,25,25,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Une commune,Sur des serveurs internes,17,29,30,57
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Une commune,Je ne sais pas,3,29,30,10
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Une commune,Dans un data center public local,4,29,30,13
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Une commune,Chez des éditeurs de logiciels (SaaS),5,29,30,17
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Une commune,Sans réponse,1,29,30,3
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Une métropole,Chez des éditeurs de logiciels (SaaS),1,18,18,6
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Une métropole,Sur des serveurs internes,14,18,18,78
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Une métropole,Je ne sais pas,0,18,18,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Une métropole,Sans réponse,0,18,18,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Une métropole,Dans un cloud certifié SecNum (cloud de confiance certifié par l'Etat),0,18,18,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Une métropole,Dans un cloud non certifié SecNum,0,18,18,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Une métropole,Dans un data center public local,3,18,18,17
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Une région,Chez des éditeurs de logiciels (SaaS),1,9,10,10
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Une région,Sur des serveurs internes,6,9,10,60
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Une région,Je ne sais pas,1,9,10,10
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Une région,Sans réponse,1,9,10,10
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Une région,Dans un cloud certifié SecNum (cloud de confiance certifié par l'Etat),0,9,10,0
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Une région,Dans un cloud non certifié SecNum,1,9,10,10
"Aujourd’hui, les données de votre structure sont majoritairement hébergées :",Une région,Dans un data center public local,0,9,10,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Autre,Un Assistant à la maîtrise d’ouvrage (AMO) ,,17,75,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Autre,Un prestataire informatique,,17,75,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Autre,Un délégataire de service public,,17,75,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Autre,Un opérateur public de service numérique (OPSN),,17,75,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Autre,Une plateforme régionale d’information géographique,,17,75,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Autre,Un opérateur numérique,,17,75,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Autre,"Une collectivité territoriale plus grande (ex : EPCI, métropole, région)",,17,75,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Autre,"Une association de collectivités (ex : OpenData France, FNCCR…)",,17,75,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Autre,"Un service de l’Etat (ex : ANCT, SGAR…)",,17,75,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Autre,Autres,,17,75,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Autre,Sans réponse,,17,75,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de 10 000 à 100 000 hab.,Un Assistant à la maîtrise d’ouvrage (AMO) ,,3,10,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de 10 000 à 100 000 hab.,Un prestataire informatique,,3,10,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de 10 000 à 100 000 hab.,Un délégataire de service public,,3,10,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de 10 000 à 100 000 hab.,Un opérateur public de service numérique (OPSN),,3,10,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de 10 000 à 100 000 hab.,Une plateforme régionale d’information géographique,,3,10,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de 10 000 à 100 000 hab.,Un opérateur numérique,,3,10,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de 10 000 à 100 000 hab.,"Une collectivité territoriale plus grande (ex : EPCI, métropole, région)",,3,10,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de 10 000 à 100 000 hab.,"Une association de collectivités (ex : OpenData France, FNCCR…)",,3,10,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de 10 000 à 100 000 hab.,"Un service de l’Etat (ex : ANCT, SGAR…)",,3,10,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de 10 000 à 100 000 hab.,Autres,,3,10,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de 10 000 à 100 000 hab.,Sans réponse,,3,10,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de 3 500 à 10 000 hab.,Un Assistant à la maîtrise d’ouvrage (AMO) ,,4,6,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de 3 500 à 10 000 hab.,Un prestataire informatique,0,4,6,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de 3 500 à 10 000 hab.,Un délégataire de service public,,4,6,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de 3 500 à 10 000 hab.,Un opérateur public de service numérique (OPSN),,4,6,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de 3 500 à 10 000 hab.,Une plateforme régionale d’information géographique,,4,6,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de 3 500 à 10 000 hab.,Un opérateur numérique,,4,6,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de 3 500 à 10 000 hab.,"Une collectivité territoriale plus grande (ex : EPCI, métropole, région)",,4,6,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de 3 500 à 10 000 hab.,"Une association de collectivités (ex : OpenData France, FNCCR…)",0,4,6,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de 3 500 à 10 000 hab.,"Un service de l’Etat (ex : ANCT, SGAR…)",,4,6,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de 3 500 à 10 000 hab.,Autres,,4,6,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de 3 500 à 10 000 hab.,Sans réponse,,4,6,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de moins de 3 500 hab.,Un Assistant à la maîtrise d’ouvrage (AMO) ,,1,9,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de moins de 3 500 hab.,Un prestataire informatique,,1,9,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de moins de 3 500 hab.,Un délégataire de service public,,1,9,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de moins de 3 500 hab.,Un opérateur public de service numérique (OPSN),,1,9,
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  ",Communes de moins de 3 500 hab.,Une plateforme régionale d’information géographique,,1,9,
